text,label
"Quarterly revenue increased by 15% due to strong sales.",1
"Analyzing customer data helps optimize marketing strategies.",1
"Profit margins have improved this quarter across all divisions.",1
"Dashboard KPIs indicate steady growth in revenue streams.",1
"The football team won the championship last night.",0
"I went to the park and fed the ducks.",0
"My favorite movie is coming out this weekend.",0
"The IT department rolled out a new software update.",0
"Sales forecasting predicts a 10% increase next month.",1
"Customer engagement metrics have improved after campaign launch.",1
"Stock prices rose due to positive financial news.",1
"Weather today is sunny with a high of 30Â°C.",0
"Employee satisfaction surveys show improvements in HR policies.",1
"I baked a chocolate cake yesterday.",0
"Revenue from online channels exceeded expectations.",1
"Music festival tickets sold out in 2 hours.",0
"Financial dashboard shows KPI trends for the last quarter.",1
"My dog is sleeping on the sofa.",0
"Data analytics helps businesses make smarter decisions.",1
"The local baseball league finals will be held on Sunday.",0
